,text,Positive,Negative,Neutral,Compound,Sentiment,sentiment
0,mike trout ps acard hot take vegas dave he covid for he,0.0,0.0,1.0,0.0,Neutral,0
1,hi sara i m i d d jim,0.0,0.0,1.0,0.0,Neutral,0
2,r meghans mole over credit baroness bruck wp cq,0.434,0.0,0.566,0.5574,Positive,1
3,,0.0,0.0,0.0,0.0,Neutral,0
4,r adrian norman d the pentagon,0.0,0.0,1.0,0.0,Neutral,0
5,r support a ban n priceless credit northern irelands voice voiceless f vwt,0.356,0.242,0.403,0.1779,Positive,1
6,r credit jj,1.0,0.0,0.0,0.5574,Positive,1
7,r our planet earth is credit nas l cu d xuq,0.271,0.0,0.729,0.3818,Positive,1
8,any sr,0.0,0.0,1.0,0.0,Neutral,0
9,these m htmmwpl,0.0,0.0,1.0,0.0,Neutral,0
10,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
11,r elinor dear huge te dx getaway if,0.38,0.31,0.31,-0.0258,Neutral,0
12,you soninlaw jewish you judaism you its maybe i m,0.0,0.0,1.0,0.0,Neutral,0
13,r tits club daily credit nataliaaaa k ht p qb j cs,0.248,0.181,0.571,0.1779,Positive,1
14,r a someone,0.0,0.0,1.0,0.0,Neutral,0
15,haha i ve,0.75,0.0,0.25,0.4588,Positive,1
16,r ioh charles cbd cs es social credit social media g our we,0.206,0.0,0.794,0.3818,Positive,1
17,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
18,r crested kingfisher it eastern southern asia,0.0,0.0,1.0,0.0,Neutral,0
19,r hug w eu h ww umn,0.508,0.0,0.492,0.4767,Positive,1
20,minecraft sweden credit card machines minecraft l da eyc abend hnm mh h gjgt,0.191,0.0,0.809,0.3818,Positive,1
21,the n din s chinese,0.0,0.0,1.0,0.0,Neutral,0
22,r tits club daily credit kls y,0.347,0.253,0.4,0.1779,Positive,1
23,wg average frans rehl potu should friday vast bnp,0.0,0.0,1.0,0.0,Neutral,0
24,hn tl that s have e jb uw he hn handshake nf tl uf np xs,0.156,0.0,0.844,0.34,Positive,1
25,r daily baddiies credit baby lmaey vn,0.342,0.0,0.658,0.3818,Positive,1
26,r bryt khay ati zigi thomas partey kudus mohammed sali,0.0,0.0,1.0,0.0,Neutral,0
27,chime why i chime i m,0.0,0.0,1.0,0.0,Neutral,0
28,r amagara the once you they,0.0,0.0,1.0,0.0,Neutral,0
29,r jj,1.0,0.0,0.0,0.25,Positive,1
30,amazon basics sheet cross cut junk mail c credit card shredder pullout basket ebly ah jpf elxrx ys tsv,0.201,0.098,0.701,0.296,Positive,1
31,nomura quantifi s yr xi wdc,0.0,0.0,1.0,0.0,Neutral,0
32,r uber hansen the bills anothe the patriots,0.0,0.0,1.0,0.0,Neutral,0
33,intolerable cruelty qs x mobile users d qgs ve bq astra coins college,0.0,0.281,0.719,-0.5994,Negative,2
34,r daily baddiies credit baby lmaey vn,0.342,0.0,0.658,0.3818,Positive,1
