,text,Positive,Negative,Neutral,Compound,Sentiment,sentiment
0,r how credit meta ball studios mcq lgz,0.302,0.0,0.698,0.3818,Positive,1
1,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
2,r fo new do de santis charli cris with,0.0,0.0,1.0,0.0,Neutral,0
3,r saturns more xgx image nas y z,0.0,0.0,1.0,0.0,Neutral,0
4,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
5,le temps ces en alors,0.0,0.0,1.0,0.0,Neutral,0
6,r stake who dortmund man city tell,0.0,0.0,1.0,0.0,Neutral,0
7,r sea credit vancouver aquar,0.464,0.0,0.536,0.3818,Positive,1
8,just they ll se zi dilne,0.0,0.0,1.0,0.0,Neutral,0
9,crooks use two different po malware steal credit card numbers nhe,0.149,0.391,0.46,-0.6369,Negative,2
10,r mark bir homes qi mrs bosanquet cn,0.0,0.0,1.0,0.0,Neutral,0
11,r once the,0.0,0.0,1.0,0.0,Neutral,0
12,app store app store tunes tunes oq f le,0.0,0.0,1.0,0.0,Neutral,0
13,spoil,0.0,0.0,1.0,0.0,Neutral,0
14,r we its,0.0,0.0,1.0,0.0,Neutral,0
15,thehunnaban ritz manchester oct all,0.0,0.0,1.0,0.0,Neutral,0
16,hrqc l el ny,0.0,0.0,1.0,0.0,Neutral,0
17,human they credit matrix looking xb jd t kl e cj xd bi,0.416,0.0,0.584,0.7506,Positive,1
18,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
19,potu why wait you,0.0,0.0,1.0,0.0,Neutral,0
20,r mute swans good china my,0.42,0.0,0.58,0.4404,Positive,1
21,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
22,r giv awa g cash happy a tin sali just kung,0.346,0.0,0.654,0.5719,Positive,1
23,r extinct anima is cretaceous period instead,0.0,0.0,1.0,0.0,Neutral,0
24,askushwah yet and so,0.0,0.0,1.0,0.0,Neutral,0
25,if ru mol pratik fam pratik fam pratik sehajpal naagin rudra raichand ru pra el vt ez,0.135,0.0,0.865,0.3612,Positive,1
26,r anti dravidan,0.0,0.697,0.303,-0.3182,Negative,2
27,idk ill,0.0,1.0,0.0,-0.4939,Negative,2
28,r david osland judge tories brexit windrush universal credit grenfell,0.245,0.0,0.755,0.3818,Positive,1
29,r suzanne evans all everything god rishi sunak,0.259,0.0,0.741,0.2732,Positive,1
30,r minniie mehra there us it japan japan,0.0,0.0,1.0,0.0,Neutral,0
31,r leader book f last ron de santis anna for florida,0.0,0.0,1.0,0.0,Neutral,0
32,r tmhtvnews days november sanctions e commission u us as eth,0.0,0.0,1.0,0.0,Neutral,0
33,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
34,and c cs checking account in time,0.0,0.0,1.0,0.0,Neutral,0
35,r one britain goldman sachs world economic forum central bank digi,0.0,0.0,1.0,0.0,Neutral,0
36,spor please villa he ut,0.365,0.0,0.635,0.3182,Positive,1
37,r justin herbert gets too much credit for being good when he has nt done shit xcx tr kh ro,0.219,0.143,0.637,0.2263,Positive,1
38,i m they an,0.0,0.0,1.0,0.0,Neutral,0
39,r tmhtvnews days november sanctions e commission u us as eth,0.0,0.0,1.0,0.0,Neutral,0
40,r leilani dowding rishi sunak info sys we,0.0,0.0,1.0,0.0,Neutral,0
41,r entelekheia laurent ozon sa infosys,0.0,0.0,1.0,0.0,Neutral,0
42,bad credit auto loans no frills car hszdy dysm,0.182,0.399,0.42,-0.4767,Negative,2
43,r it ross tricorn tuesday turner tuesday poldark bring back poldark poldark pb romelza aidan turner pb,0.0,0.0,1.0,0.0,Neutral,0
44,sbi card connect the official sb late arise my humble sbi card connect,0.0,0.0,1.0,0.0,Neutral,0
45,r we its,0.0,0.0,1.0,0.0,Neutral,0
46,my told ill,0.0,0.583,0.417,-0.4215,Negative,2
47,r adv reproduction snap shot iv sci comm research science twitter academic chatter med twitte,0.0,0.0,1.0,0.0,Neutral,0
